text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
on peut la dégager ?,FALSE,0,NA,2017-10-21 23:17:43,FALSE,NA,921878191769358336,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,FanchonF,0,FALSE,FALSE,NA,NA
#BalanceTonPorc https://t.co/fNbbfMKuey,FALSE,0,NA,2017-10-21 23:16:06,FALSE,NA,921877785722814469,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Limo__nade,0,FALSE,FALSE,NA,NA
oh my god #balancetonporc #erkencitayfa #PomPomGirl #Bukkake https://t.co/Y29LPJmKvM,FALSE,0,NA,2017-10-21 23:14:53,FALSE,NA,921877480704741376,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Shari_dafaye,0,FALSE,FALSE,NA,NA
omg #metoo #balancetonporc #Timide #FaceAssise https://t.co/eLfSz55yAY,FALSE,0,NA,2017-10-21 23:14:21,FALSE,NA,921877346256343040,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,anirudh0594,0,FALSE,FALSE,NA,NA
ohhh #balancetonporc #Paris #SpermeDansLaBouche #Compilation https://t.co/CvvKY9fcQk,FALSE,0,NA,2017-10-21 23:13:18,FALSE,NA,921877081373511680,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Bossdante1Dante,0,FALSE,FALSE,NA,NA
Les attouchements de @rheaum1n #balancetonporc,FALSE,1,NA,2017-10-21 23:13:13,FALSE,NA,921877059667943424,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Mathieuhrc,1,FALSE,FALSE,NA,NA
je suis étonné de ne pas avoir vu de "balance ton père", vu le nombre d'agressions sexuelles des pères sur leurs enfants... #balancetonporc,FALSE,0,NA,2017-10-21 23:12:59,FALSE,NA,921877003430703109,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,MifigueMivenin,0,FALSE,FALSE,NA,NA
La honte, de comparer la délation des Juifs à #balancetonporc, franchement la honte, hé, des gens sont morts à cause de la délation hein !,FALSE,0,Luluinthesky_,2017-10-21 23:12:43,FALSE,921875714177200129,921876936510595077,752285914622197760,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Luluinthesky_,0,FALSE,FALSE,NA,NA
#Balancetonporc https://t.co/010dPPAH5v,FALSE,0,NA,2017-10-21 23:11:01,FALSE,NA,921876505420075012,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,VicoBarCap,0,FALSE,FALSE,NA,NA
@Iperbole_ @AsiaArgento #quellavoltache #balancetonporc #WomenBoycottTwitter @AsiaArgento
https://t.co/taSV4PHCN6,FALSE,1,Iperbole_,2017-10-21 23:10:55,FALSE,920997474881417216,921876481885786112,425261926,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,helenevola,0,FALSE,FALSE,NA,NA
https://t.co/taSV4PHCN6
#quellavoltache #balancetonporc #WomenBoycottTwitter #AsiaArgento,FALSE,0,NA,2017-10-21 23:10:49,FALSE,NA,921876458238349312,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,helenevola,0,FALSE,FALSE,NA,NA
«#Balancetonporc» : Christine Boutin dénonce un «dégueulis d’accusations» https://t.co/KAz4ijLzWq #SCOTFC #NuitOriginale #NapoliInt,FALSE,0,NA,2017-10-21 23:09:42,FALSE,NA,921876174971777024,NA,<a href="http://echoservice.fr" rel="nofollow">echoservicefr</a>,echoservicefr,0,FALSE,FALSE,NA,NA
#balancetonporc | Du danger de (trop) s’indigner en ligne https://t.co/YXHTJuREQc,FALSE,0,NA,2017-10-21 23:09:20,FALSE,NA,921876083967971328,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Lederzz,0,FALSE,FALSE,NA,NA
ohhh #balancetonporc #movedisease #Thai #Collants https://t.co/5EN5Ukh3fQ,FALSE,0,NA,2017-10-21 23:07:21,FALSE,NA,921875583868588032,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,nannen17,0,FALSE,FALSE,NA,NA
wow #balancetonporc #maddenclassic #Pompe #En Public https://t.co/3AMfZYuwKp,FALSE,0,NA,2017-10-21 23:07:13,FALSE,NA,921875549680820224,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,uzmaki7,0,FALSE,FALSE,NA,NA
